Claims extracted from patent HUPD dataset,GPT-4 generated claims,Rating by Expert 1,Rating by Expert 2,Rating by Expert 3,Expert's mean score
"1. A distributed control system for controlling a plurality of motors to actuate movement of a robotically manipulated device, the distributed control system comprising: a plurality of sensors coupled to the plurality of motors for sensing states of the plurality of motors, wherein the plurality of sensors and the plurality of motors are disposed in one or more distal housings; and a remote current controller adapted to receive current commands indicative of commanded positions of the plurality of motors from a position controller, receive information of the sensed states of the plurality of motors, generate individual motor driving signals for the plurality of motors by using the received current commands and the received information of the sensed states of the plurality of motors, and transmit the individual motor driving signals to the plurality of motors; wherein the position controller is disposed in a proximal housing, and wherein the remote current controller is disposed in an intermediate housing that is between the proximal housing and the one or more distal housings.","1. A distributed control system for controlling a plurality of motors to actuate movement of a robotically manipulated device, the distributed control system comprising: a plurality of sensors coupled to the plurality of motors for sensing states of the plurality of motors, wherein the plurality of sensors and the plurality of motors are disposed in one or more distal housings; and a remote current controller adapted to receive current commands indicative of commanded positions of the plurality of motors from a position controller, receive information of the sensed states of the plurality of motors, generate individual motor driving signals for the plurality of motors by using the received current commands and the received information of the sensed states of the plurality of motors, and transmit the individual motor driving signals to the plurality of motors; wherein the position controller is disposed in a proximal housing, and wherein the remote current controller is disposed in an intermediate housing that is between the proximal housing and the one or more distal housings.",4,4,4,4.0
"1. A computer program product (CPP) tangibly embodied in a computer readable medium and containing instructions that, when executed, cause a processor to perform operations to calculate a fit-quality metric of a virtual mask to a virtual face, the operations comprising: receiving facial-elevation data corresponding to a face of a person; retrieving from data-memory locations mask-mating elevation data corresponding to a facial-mating surface of a mask model; fitting a chin region of the received facial-elevation data to a chin-mating surface of the retrieved mask-mating elevation data, wherein fitting the chin region comprises: i) identifying a menton region of the received facial-elevation data; and, ii) aligning a menton region of the retrieved mask-mating elevation data with the identified menton region of the received facial-elevation data; determining a mask-model alignment angle at which both the fitted chin region is substantially maintained relative to the chin-mating surface and a nose-bridge region of the received facial-elevation data is fit to a nose-bridge-contacting surface of the retrieved mask-mating elevation data; translating the mask model aligned at the determined angle in a facial direction a distance calculated to correspond with an actual translation of a mask subject to a force of a mask-securing device when securing a mask to a face; and, calculating a fit-quality metric of an interface between the received facial-elevation data and the retrieved mask-mating elevation data when fitted to both the chin region and the nose-bridge region at the determined alignment angle.","1. A computer program product (CPP) tangibly embodied in a computer readable medium and containing instructions that, when executed, cause a processor to perform operations to calculate a fit-quality metric of a virtual mask to a virtual face, the operations comprising receiving facial-elevation data corresponding to a face of a person retrieving from data-memory locations mask-mating elevation data corresponding to a facial-mating surface of a mask model fitting a chin region of the received facial-elevation data to a chin-mating surface of the retrieved mask-mating elevation data, wherein fitting the chin region comprises i) identifying a menton region of the received facial-elevation data and, ii) aligning a menton region of the retrieved mask-mating elevation data with the identified menton region of the received facial-elevation data determining a mask-model alignment angle at which both the fitted chin region is substantially maintained relative to the chin-mating surface and a nose-bridge region of the received facial-elevation data is fit to a nose-bridge-contacting surface of the retrieved mask-mating elevation data translating the mask model aligned at the determined angle in a facial direction a distance calculated to correspond with an actual translation of a mask subject to a force of a mask-securing device when securing a mask to a face and, calculating a fit-quality metric of an interface between the received facial-elevation data and the retrieved mask-mating elevation data when fitted to both the chin region and the nose-bridge region at the determined alignment angle.",3,3,3,3.0
"1. A surgical system, comprising: an electromechanical arm configured to removably couple to a surgical instrument, the electromechanical arm being configured to move so as to move the surgical instrument removably coupled thereto relative to a patient on which a surgical procedure is being performed; a camera having a field of view; and a controller configured to receive an instruction from a user requesting movement of the surgical instrument from a start location outside of the field of view, move the surgical instrument in accordance with the instruction, provide a constant cue during the movement of the surgical instrument, the cue changing during the movement of the surgical instrument in relation to a location of the surgical instrument relative to the field of view, and stop the cue when the surgical instrument moves into the field of view.","1. A surgical system, comprising: an electromechanical arm configured to removably couple to a surgical instrument, the electromechanical arm being configured to move so as to move the surgical instrument removably coupled thereto relative to a patient on which a surgical procedure is being performed; a camera having a field of view; and a controller configured to receive an instruction from a user requesting movement of the surgical instrument from a start location outside of the field of view , move the surgical instrument in accordance with the instruction, provide a constant cue during the movement of the surgical instrument, the cue changing during the movement of the surgical instrument in relation to a location of the surgical instrument relative to the field of view, and stop the cue when the surgical instrument moves into the field of view.",3,3,3,3.0
"1. A cushion for co-sleeping comprising: a planar latch plate; a belt coupled to the latch plate; an L-shaped plate coupled to the belt; and a cushion supported by the L-shaped plate, wherein a bendable pipe is enclosed in the cushion to allow the cushion to be bent in an arbitrary shape.","1. A cushion for co-sleeping comprising: a planar latch plate; a belt coupled to the latch plate; an L-shaped plate coupled to the belt; and a cushion supported by the L-shaped plate, wherein a bendable pipe is enclosed in the cushion to allow the cushion to be bent in an arbitrary shape",4,4,4,4.0
"1. A composition for controlling plant diseases comprising a tetrazolinone compound represented by a formula (1): wherein n is an integer of any one of 0 to 5; R1 represents a halogen atom, a C1-C6 alkyl group, a C1-C6 alkoxy group, a C1-C6 alkylthio group, a nitro group or a cyano group; R2 represents a C1-C3 alkyl group, a C3-C4 cycloalkyl group, a halogen atom, a C1-C3 alkoxy group, a C1-C2 alkylthio group, a C2-C3 alkenyl group, or a C2-C3 alkynyl group, the R1 or R2 can have independently halogen atom(s) in the alkyl moiety; with the proviso that when n is an integer of 2 or more, two or more of the R1 may be different from each other, and one or more carboxamide compounds selected from the Group (A): Group (A): a group consisting of bixafen, benzovindiflupyr, fluxapyroxad, penthiopyrad, N-(1,1,3-trimethylindan-4-yl)-1-methyl-3-difluoromethylpyrazole-4-carboxylic acid amide, a compound represented by the following formula (b): isofetamid, isopyrazam, boscalid, fluopyram, sedaxane, penflufen, flutolanil, mepronil, carboxin, thifluzamide, and furametpyr.","1. A composition for controlling plant diseases comprising a tetrazolinone compound represented by a formula : wherein n is an integer of any one of 0 to 5; R1 represents a halogen atom, a C1-C6 alkyl group, a C1-C6 alkoxy group , a C1-C6 alkylthio group, a nitro group or a cyano group; R2 represents a C1-C3 alkyl group, a C3-C4 cycloalkyl group, a halogen atom, a C1-C3 alkoxy group, a C1-C2 alkylthio group, a C2-C3 alkenyl group, or a C2-C3 alkynyl group, the R1 or R2 can have independently halogen atom in the alkyl moiety; with the proviso that when n is an integer of 2 or more, two or more of the R1 may be different from each other, and one or more carboxamide compounds selected from the Group : Group : a group consisting of bixafen, benzovindiflupyr, fluxapyroxad, penthiopyrad, N--1-methyl-3-difluoromethylpyrazole-4-carboxylic acid amide, a compound represented by the following formula : isofetamid, isopyrazam, boscalid, fluopyram, sedaxane, penflufen, flutolanil, mepronil, carboxin, thifluzamide, and furametpyr.",3,3,3,3.0
1. A determination device for determining whether a subject shown in a plurality of frames captured by an image sensor has a vital-sign feature: a detection module to detect a region of interest (ROI) on the subject; a generation module to receive a plurality of sensing signals related to the ROI and generate a vital-sign signal; an evaluation module to receive the vital-sign signal and evaluate a quality index of the vital-sign signal; and a determination module to determine whether the vital-sign signal is valid according to the quality index to determine whether the subject has the vital-sign feature.,1. A determination device for determining whether a subject shown in a plurality of frames captured by an image sensor has a vital-sign feature: a detection module to detect a region of interest  on the subject; a generation module to receive a plurality of sensing signals related to the ROI and generate a vital-sign signal; an evaluation module to receive the vital-sign signal and evaluate a quality index of the vital-sign signal; and a determination module to determine whether the vital-sign signal is valid according to the quality index to determine whether the subject has the vital-sign feature.,3,3,3,3.0
"1. A method of setting function, comprising: a first step of connecting a first recording medium to a first electrical apparatus having an optional function either disabled or temporarily enabled, the first recording medium containing license information to enable the optional function; a second step of allowing the first electrical apparatus to authenticate the license information; a third step, subsequent to the second step, of enabling the optional function of the first electrical apparatus; and a fourth step, subsequent to the third step, of recording the optional function as having been authenticated in the license information, wherein, in the second step, the first electrical apparatus verifies individual identification information recorded in the first recording medium by comparing it with media identification information contained in the license information.","1. A method of setting function, comprising a first step of connecting a first recording medium to a first electrical apparatus having an optional function either disabled or temporarily enabled, the first recording medium containing license information to enable the optional function a second step of allowing the first electrical apparatus to authenticate the license information a third step, subsequent to the second step, of enabling the optional function of the first electrical apparatus and a fourth step, subsequent to the third step, of recording the optional function as having been authenticated in the license information, wherein, in the second step, the first electrical apparatus verifies individual identification information recorded in the first recording medium by comparing it with media identification information contained in the license information.",3,3,3,3.0
"1. A system for evaluating candidate materials for fabrication of integrated circuits, the system comprising: a memory; a data processor coupled to the memory, the data processor configured to: calculate values for a selected target property for each of a plurality of combinations of (a) values for each intermediate material property in a set of at least one intermediate material property, and (b) values describing candidate environments for the material; and write the calculated values to a database in a computer readable medium, wherein each intermediate material property in the set of at least one intermediate material property affects the target property, but is substantially unaffected by the environment in which the material is used.","1. A system for evaluating candidate materials for fabrication of integrated circuits, the system comprising a memory a data processor coupled to the memory, the data processor configured to calculate values for a selected target property for each of a plurality of combinations of (a) values for each intermediate material property in a set of at least one intermediate material property, and (b) values describing candidate environments for the material and write the calculated values to a database in a computer readable medium, wherein each intermediate material property in the set of at least one intermediate material property affects the target property, but is substantially unaffected by the environment in which the material is used.",4,4,4,4.0
"1. A composition to improve the efficacy and/or reduce the side effects of suboptimally administered drug therapy comprising a therapeutically effective quantity of a therapeutic agent or modified therapeutic agent or a derivative, analog, or prodrug of a therapeutic agent or modified therapeutic agent, wherein the therapeutic agent or modified therapeutic agent or the derivative, analog or prodrug of the therapeutic agent or modified therapeutic agent possesses increased therapeutic efficacy or reduced side effects, wherein the composition: (a) includes at least one bulk drug product improvement; (b) is produced in a specified dosage form; (c) includes a drug conjugate form; (d) includes a compound analog; or (e) includes a prodrug; wherein the therapeutic agent, the modified therapeutic agent, or the derivative, analog, or prodrug of a therapeutic agent or modified therapeutic agent subject to the bulk drug product improvement possesses increased therapeutic efficacy or reduced side effects as compared with an unmodified therapeutic agent; wherein the unmodified therapeutic agent is bisantrene or a derivative or analog of bisantrene, the modified therapeutic agent is a modification of bisantrene or a derivative or analog of bisantrene, and the derivative, analog, or prodrug is a derivative, analog, or prodrug of bisantrene or of a derivative or analog of bisantrene.","1. A composition to improve the efficacy and/or reduce the side effects of suboptimally administered drug therapy comprising a therapeutically effective quantity of a therapeutic agent or modified therapeutic agent or a derivative, analog, or prodrug of a therapeutic agent or modified therapeutic agent, wherein the therapeutic agent or modified therapeutic agent or the derivative, analog or prodrug of the therapeutic agent or modified therapeutic agent possesses increased therapeutic efficacy or reduced side effects, wherein the composition:  includes at least one bulk drug product improvement;  is produced in a specified dosage form;  includes a drug conjugate form;  includes a compound analog; or  includes a prodrug; wherein the therapeutic agent, the modified therapeutic agent, or the derivative, analog, or prodrug of a therapeutic agent or modified therapeutic agent subject to the bulk drug product improvement possesses increased therapeutic efficacy or reduced side effects as compared with an unmodified therapeutic agent; wherein the unmodified therapeutic agent is bisantrene or a derivative or analog of bisantrene, the modified therapeutic agent is a modification of bisantrene or a derivative or analog of bisantrene, and the derivative, analog, or prodrug is a derivative, analog, or prodrug of bisantrene or of a derivative or analog of bisantrene.",4,4,4,4.0
"1. A pull-up fitness exercise machine, comprising: a base, flatly attached onto a floor, and having a hollow upright column disposed on a side of the base and provided for inserting and installing into a linking hook lever at a lower end of a cantilever and pivotally coupled to the cantilever by a first pivot; the cantilever, having an upper end pivotally coupled by two cantilever pivots, and pivotally coupled to a fork for installing a pulling and latching unit, and the lower end being the linking hook lever; a cantilever aligning unit, installed at a guide slot formed on a side of the upright column, and having an oblique support rod, a position adjusting lever and a pneumatic rod pivotally coupled to the cantilever; the pulling and latching unit, installed between the fork and a support plate, and including a pull handle, a pull string and a plurality of pulleys, for driving the support plate to displace in upper and lower strokes; an assisted pushing unit, pivotally coupled to the bottom of the base, and including a resistance adjusting mechanism and a spring pneumatic cylinder, for providing an adjustable lifting force to the support plate; a limit assembly, formed by a hook plate pivotally coupled to a bottom end of the linking hook lever, an assisted hook lever linked with the assisted pushing unit, and an elastic member installed at the bottom of the base, and defining a hook action with a corresponding hook hole of the assisted hook lever by the hook column of the hook plate, so that the support plate is positioned securely at the low static position; and a support plate, pivotally coupled by using two side bars, and the other end of the two side bars being pivotally coupled to a second pivot point of the base, and a coupling lever being used for pivotally coupling and linking the support plate to the resistance adjusting mechanism, thereby, when the support plate is situated at the low static position, the support plate is acted by the limit assembly and fixed to a bottom position of the base, so that only after a specific gravitational force is exerted onto the support plate and the cantilever is pulled downward, the linking hook lever uses the first pivot as a fulcrum to move sideway slightly, so as to drive the hook plate to rotate appropriately by using a swivel as the fulcrum, and separate the hook column from the corresponding hook hole of the assisted hook lever in order to release the support plate from its locked status, and pull the linking hook lever and its hook plate to their original positions by the elastic member after the external force is released.","1. A pull-up fitness exercise machine, comprising: a base, flatly attached onto a floor, and having a hollow upright column disposed on a side of the base and provided for inserting and installing into a linking hook lever at a lower end of a cantilever and pivotally coupled to the cantilever by a first pivot; the cantilever, having an upper end pivotally coupled by two cantilever pivots, and pivotally coupled to a fork for installing a pulling and latching unit, and the lower end being the linking hook lever; a cantilever aligning unit, installed at a guide slot formed on a side of the upright column, and having an oblique support rod, a position adjusting lever and a pneumatic rod pivotally coupled to the cantilever; the pulling and latching unit, installed between the fork and a support plate, and including a pull handle, a pull string and a plurality of pulleys, for driving the support plate to displace in upper and lower strokes; an assisted pushing unit, pivotally coupled to the bottom of the base, and including a resistance adjusting mechanism and a spring pneumatic cylinder, for providing an adjustable lifting force to the support plate; a limit assembly, formed by a hook plate pivotally coupled to a bottom end of the linking hook lever, an assisted hook lever linked with the assisted pushing unit, and an elastic member installed at the bottom of the base, and defining a hook action with a corresponding hook hole of the assisted hook lever by the hook column of the hook plate, so that the support plate is positioned securely at the low static position; and a support plate, pivotally coupled by using two side bars, and the other end of the two side bars being pivotally coupled to a second pivot point of the base, and a coupling lever being used for pivotally coupling and linking the support plate to the resistance adjusting mechanism, thereby, when the support plate is situated at the low static position, the support plate is acted by the limit assembly and fixed to a bottom position of the base, so that only after a specific gravitational force is exerted onto the support plate and the cantilever is pulled downward, the linking hook lever uses the first pivot as a fulcrum to move sideway slightly, so as to drive the hook plate to rotate appropriately by using a swivel as the fulcrum, and separate the hook column from the corresponding hook hole of the assisted hook lever in order to release the support plate from its locked status, and pull the linking hook lever and its hook plate to their original positions by the elastic member after the external force is released.",4,4,4,4.0
"1. A device for centering a medical instrument in a conduit within a patient, the device comprising: a framework comprised of a plurality of elongate metal frame members, wherein the frame members are attached to each other to define a central lumen having an open proximal end and an open distal end, wherein the distal end has a diameter that is larger than a diameter of the proximal end, and wherein the frame members are attached to each other to further define two or more side apertures that are nearer to the proximal end than to the distal end; and a covering, wherein the covering is attached to the framework and the covering is a biocompatible membrane or film.","1. A device for centering a medical instrument in a conduit within a patient, the device comprising: a framework comprised of a plurality of elongate metal frame members, wherein the frame members are attached to each other to define a central lumen having an open proximal end and an open distal end , wherein the distal end has a diameter that is larger than a diameter of the proximal end, and wherein the frame members are attached to each other to further define two or more side apertures that are nearer to the proximal end than to the distal end; and a covering, wherein the covering is attached to the framework and the covering is a biocompatible membrane or film.",3,3,3,3.0
"1. An accessory device for use with an electronic user apparatus, said user apparatus including at least one capacitive sensor for detection of at least one control object with respect to a control surface, and at least one apparatus guard, placed at an alternating guard potential (VG) different from a ground potential of said at least one control object, and identical to a potential of said at least one capacitive sensor, characterized in that said accessory device comprises: at least one accessory guard capable of being set to said alternating guard potential (VG) by coupling with said user apparatus.","1. An accessory device for use with an electronic user apparatus, said user apparatus including at least one capacitive sensor for detection of at least one control object with respect to a control surface, and at least one apparatus guard, placed at an alternating guard potential (VG) different from a ground potential of said at least one control object, and identical to a potential of said at least one capacitive sensor, characterized in that said accessory device comprises at least one accessory guard capable of being set to said alternating guard potential (VG) by coupling with said user apparatus.",3,3,2,2.666666667
"1. A method for providing assistance for maintaining or improving an individual's wellness, comprising the steps of: measuring a presence and/or concentration of one or more biomarkers in a sample from the individual; predicting a wellness need for maintaining or improving the individual's wellness based on the measured presence and/or concentration of the one or more biomarkers, wherein the one or more biomarkers are indicators of a wellness need; and providing assistance to the individual by addressing the wellness need of the individual.","1. A method for providing assistance for maintaining or improving an individual's wellness, comprising the steps of measuring a presence and/or concentration of one or more biomarkers in a sample from the individual predicting a wellness need for maintaining or improving the individual's wellness based on the measured presence and/or concentration of the one or more biomarkers, wherein the one or more biomarkers are indicators of a wellness need and providing assistance to the individual by addressing the wellness need of the individual.",2,3,3,2.666666667
"1. A motherboard, comprising: a socket coupled to a cable; and an adapter coupled to a central processing unit (CPU) and received in the socket upon installation of the CPU in the motherboard, wherein the cable and socket are installed in the motherboard prior to installation of the CPU.","1. A motherboard, comprising a socket coupled to a cable and an adapter coupled to a central processing unit (CPU) and received in the socket upon installation of the CPU in the motherboard, wherein the cable and socket are installed in the motherboard prior to installation of the CPU.",3,3,3,3.0
"1. A method to extract information from semantic data on the world wide web, the method comprising: generating a plurality of assertions from an ontology corresponding to the semantic data based at least in part on a plurality of statements of the ontology; determining information candidates based at least in part on syntax of information representation language; and validating the information candidates based at least in part on the plurality of assertions.","1. A method to extract information from semantic data on the world wide web, the method comprising generating a plurality of assertions from an ontology corresponding to the semantic data based at least in part on a plurality of statements of the ontology determining information candidates based at least in part on syntax of information representation language and validating the information candidates based at least in part on the plurality of assertions.",2,3,3,2.666666667
"1. A database management apparatus configured to manage a database stored in a storage apparatus, the database management apparatus comprising: a query reception module configured to receive a query to the database; a query execution plan generation module configured to generate a query execution plan comprising information representing one or more database operations required to execute the received query; and a query execution module configured to dynamically generate, when executing the received query based on the generated query execution plan, a task for executing a database operation and to execute the dynamically generated task, the query execution module being configured to: acquire a usage of resource to be utilized to execute the received query; generate a new task based on the utilization situation of the resources when executing a next database operation of the database operation to be executed by the generated task; and execute the new task in parallel with the generated task.","1. A database management apparatus configured to manage a database stored in a storage apparatus, the database management apparatus comprising a query reception module configured to receive a query to the database a query execution plan generation module configured to generate a query execution plan comprising information representing one or more database operations required to execute the received query and a query execution module configured to dynamically generate, when executing the received query based on the generated query execution plan, a task for executing a database operation and to execute the dynamically generated task, the query execution module being configured to acquire a usage of resource to be utilized to execute the received query generate a new task based on the utilization situation of the resources when executing a next database operation of the database operation to be executed by the generated task and execute the new task in parallel with the generated task.",3,4,4,3.666666667
